"Time","time_d","Head_1","Rain_2","ET_3_AET","ET_3_PET","NET1.Sources.Sinks","PM","Overland","ET.Interception.Storage","NET2.Accumulation","ERROR..NET1.NET2.","Error.rel","Error.percent","Olf2PM","PM2Olf","Canopy_evap","Surf_evap","PM_evap","PM_trans","Tot_ET"
79.0334809104375,0.00142970384035834,0.00080685593499,0.0192,-0.0051007118754,0.019072,0.01490614406,0.014906040892,0.000000065535705182,0,0.014906106428,0.000000037631822151,0.0000025245878145,0.00018809463253,0.018057772833,0,0,-0.0000011543007352,-0.0011412195636,-0.003958338011,-0.0051007118754
79.0349106142778,0.00142970384035834,0.00080685027057,0.0192,-0.0051026764063,0.019072,0.014904173864,0.014904131966,0.000000059648972685,0,0.014904191615,-0.000000017750482936,0.0000011909732487,0.000088722026185,0.018095861719,0,0,-0.0000011756307005,-0.0011420485834,-0.0039594521922,-0.0051026764063
79.0364424398211,0.00153182554323905,0.00080684420166,0.0192,-0.0051047944741,0.019072,0.014902049728,0.014901959387,0.000000059487161555,0,0.014902018874,0.00000003085380563,0.0000020704425321,0.00015421625379,0.018131780363,0,0,-0.0000011985455821,-0.0011429443827,-0.0039606515458,-0.0051047944741
79.0379742653643,0.00153182554323905,0.00080683813286,0.0192,-0.0051069261252,0.019072,0.014899912008,0.014899822091,0.000000059233865162,0,0.014899881325,0.000000030682324681,0.0000020592307026,0.00015335918888,0.01816229903,0,0,-0.0000012214885972,-0.0011438480122,-0.0039618566244,-0.0051069261252
79.0395060909076,0.00153182554323905,0.00080683206418,0.0192,-0.0051090713099,0.019072,0.014897760754,0.014897670811,0.000000059165699948,0,0.014897729977,0.000000030777388518,0.0000020659091535,0.00015383439227,0.018188656357,0,0,-0.0000012445295195,-0.0011447594427,-0.0039630673377,-0.0051090713099
79.0410379164508,0.00153182554323905,0.00080682599561,0.0192,-0.0051112299643,0.019072,0.014895596031,0.014895505725,0.000000059240620375,0,0.014895564965,0.000000031065810971,0.0000020855723598,0.00015527605917,0.018211800399,0,0,-0.0000012677232018,-0.0011456786453,-0.0039642835958,-0.0051112299643
79.042569741994,0.00153182554323905,0.00080681992716,0.0192,-0.0051134020128,0.019072,0.014893417914,0.014893327006,0.000000059424637216,0,0.014893386431,0.000000031483614936,0.0000021139303546,0.00015736441399,0.018232448731,0,0,-0.0000012911122925,-0.0011466055915,-0.003965505309,-0.0051134020128
79.0441015675373,0.00153182554323905,0.00080681385882,0.0192,-0.00511558737,0.019072,0.014891226489,0.014891134829,0.000000059689865831,0,0.014891194519,0.000000031970155029,0.0000021469144513,0.00015979633366,0.01825113429,0,0,-0.0000013147292913,-0.0011475402528,-0.0039667323879,-0.00511558737
79.0456333930805,0.00153182554323905,0.0008068077906,0.0192,-0.0051177859423,0.019072,0.014889021848,0.014888929375,0.00000006001260858,0,0.014888989388,0.000000032460650655,0.0000021801758619,0.00016224802575,0.018268238067,0,0,-0.0000013385979242,-0.001148482601,-0.0039679647434,-0.0051177859423
79.0471652186238,0.00153182554323905,0.00080680172249,0.0192,-0.0051199976283,0.019072,0.014886804094,0.014886710848,0.000000060371106737,0,0.014886771219,0.000000032874726625,0.0000022083156812,0.00016431775094,0.018284007798,0,0,-0.0000013627336729,-0.0011494326075,-0.0039692022871,-0.0051199976283
79.048697044167,0.00153182554323905,0.0008067956545,0.0192,-0.0051222212256,0.019072,0.014884574429,0.014884518933,0.000000057769946272,0,0.014884576703,-0.0000000022742061949,0.00000015278945542,0.000011367168607,0.018282764402,0,0,-0.0000013859457469,-0.0011503903486,-0.0039704449312,-0.0051222212256
79.0503382858205,0.00164124165347346,0.00080678915321,0.0192,-0.0051246181015,0.019072,0.014882171052,0.01488208033,0.000000058714055025,0,0.014882139044,0.000000032007702834,0.000002150743809,0.0001599842063,0.018283698024,0,0,-0.000001411350607,-0.0011514248888,-0.0039717818621,-0.0051246181015
79.0519795274739,0.00164124165347346,0.00080678265205,0.0192,-0.0051270287466,0.019072,0.014879753905,0.014879701312,0.000000056907552736,0,0.014879758219,-0.000000004314010078,0.00000028992478505,0.000021562737763,0.01827144761,0,0,-0.0000014361007449,-0.0011524682051,-0.0039731244408,-0.0051270287466
79.0537380006741,0.001758473200141,0.00080677568667,0.0192,-0.0051296280778,0.019072,0.014877147609,0.014877056031,0.000000058442965592,0,0.014877114474,0.000000033134558847,0.0000022272142898,0.00016561668589,0.018264252782,0,0,-0.0000014634775148,-0.0011535955735,-0.0039745690268,-0.0051296280778
79.0554964738742,0.001758473200141,0.00080676872144,0.0192,-0.0051322446944,0.019072,0.014874524027,0.014874419719,0.000000060750848147,0,0.014874480469,0.000000043557624958,0.0000029283416837,0.00021771444237,0.018267113343,0,0,-0.0000014920933915,-0.0011547327559,-0.003976019845,-0.0051322446944
